"value_eur";"club_name";"league_id";"league_name";"club_position";"overall";"potential";"age";"wage_eur";"release_clause_eur";"nation_team_id";"moneda"
1,1e+07;"Köln";2215;"Bundesliga Women";"RCB";76;82;22;700;26400000;;"€"
10500000;"OL Reign";2221;"NWSL";"LCB";76;82;25;750;24200000;;"€"
1,2e+07;"San Diego Wave";2221;"NWSL";"SUB";76;82;24;750;27600000;;"€"
1,2e+07;"San Diego Wave";2221;"NWSL";"SUB";76;82;24;750;27600000;;"€"
1,2e+07;"Hoffenheim";2215;"Bundesliga Women";"SUB";76;82;23;850;27600000;;"€"
1,2e+07;"SL Benfica";10003;"1st Division Women";"LS";76;82;23;850;28800000;;"€"
11500000;"Arsenal";2216;"Women's Super League";"SUB";76;81;24;750;24400000;113011;"£"
11500000;"Ajax";610;"Eredivisie Women";"LB";76;81;24;850;26200000;;"€"
1,1e+07;"Eintracht Frankfurt";2215;"Bundesliga Women";"SUB";76;81;25;900;23700000;;"€"
1e+07;"Bayer Leverkusen";2215;"Bundesliga Women";"SUB";76;81;24;700;21800000;;"€"
10500000;"Washington Spirit";2221;"NWSL";"SUB";76;81;24;700;22800000;;"€"
1e+07;"Chicago Red Stars";2221;"NWSL";"SUB";76;81;25;750;21800000;;"€"
8500000;"Real Sociedad";2222;"Primera Division Women";"SUB";76;81;26;650;18500000;;"€"
10500000;"Slavia Prague";609;"Czech First Division Women";"LB";76;81;23;700;23900000;;"€"
10500000;"Tottenham";2216;"Women's Super League";"LCM";76;80;25;850;22800000;;"£"
9500000;"Ajax";610;"Eredivisie Women";"RCB";76;80;25;750;21600000;;"€"
10500000;"Ajax";610;"Eredivisie Women";"LCM";76;80;24;750;23900000;;"€"
9e+06;"Bayer Leverkusen";2215;"Bundesliga Women";"RB";76;79;26;800;19600000;;"€"
1e+07;"Hoffenheim";2215;"Bundesliga Women";"CM";76;79;25;850;21800000;;"€"
8500000;"SGS Essen";2215;"Bundesliga Women";"LCB";76;79;26;800;19300000;;"€"
1e+07;"OL Reign";2221;"NWSL";"SUB";76;79;26;850;21800000;;"€"
1e+07;"Washington Spirit";2221;"NWSL";"SUB";76;79;26;850;21800000;;"€"
8500000;"MSV Duisburg";2215;"Bundesliga Women";"RCB";76;79;26;800;19300000;;"€"
1e+07;"Athletic Bilbao";2222;"Primera Division Women";"RM";76;79;24;750;21800000;;"€"
9e+06;"SL Benfica";10003;"1st Division Women";"SUB";76;79;25;750;20500000;;"€"
8e+06;"Manchester United";2216;"Women's Super League";"SUB";76;78;26;800;17400000;;"£"
6e+06;"North Carolina Courage";2221;"NWSL";"SUB";76;78;29;700;13100000;;"€"
5500000;"Arsenal";2216;"Women's Super League";"SUB";76;77;30;650;11700000;113000;"£"
8e+06;"Orlando Pride";2221;"NWSL";"RB";76;77;27;800;17400000;;"€"
7e+06;"Madrid CFF";2222;"Primera Division Women";"LCB";76;77;28;850;15200000;;"€"
9e+06;"Manchester United";2216;"Women's Super League";"SUB";76;77;27;950;19600000;113984;"£"
8e+06;"Montpellier";2218;"Feminine Division 1";"LM";76;77;26;800;17400000;;"€"
7500000;"San Diego Wave";2221;"NWSL";"CAM";76;77;27;800;16300000;;"€"
9e+06;"Kansas City";2221;"NWSL";"LM";76;77;25;850;19600000;;"€"
7500000;"Angel City";2221;"NWSL";"RCB";76;77;26;800;16300000;;"€"
9e+06;"Guingamp";2218;"Feminine Division 1";"LM";76;77;25;850;20500000;;"€"
7e+06;"Montpellier";2218;"Feminine Division 1";"SUB";76;77;29;850;15200000;;"€"
9e+06;"MSV Duisburg";2215;"Bundesliga Women";"CAM";76;77;26;850;20500000;;"€"
825000;"Washington Spirit";2221;"NWSL";"SUB";76;76;41;500;1700000;;"€"
5500000;"Rosengard";814;"Damallsvenskan Women";"RB";76;76;31;800;12100000;;"€"
6500000;"Everton";2216;"Women's Super League";"LW";76;76;31;950;13700000;;"£"
6500000;"Hoffenheim";2215;"Bundesliga Women";"LB";76;76;30;800;13700000;;"€"
7500000;"Angel City";2221;"NWSL";"SUB";76;76;28;900;15800000;;"€"
6e+06;"Brighton & Hove Albion";2216;"Women's Super League";"SUB";76;76;30;800;12600000;;"£"
4600000;"Tottenham";2216;"Women's Super League";"SUB";76;76;33;850;9700000;;"£"
2400000;"UDG Tenerife";2222;"Primera Division Women";"LW";76;76;39;700;5300000;;"€"
5e+06;"Chicago Red Stars";2221;"NWSL";"RB";76;76;32;800;10500000;;"€"
7500000;"Angel City";2221;"NWSL";"RM";76;76;29;900;15800000;113984;"€"
3100000;"Racing Louisville";2221;"NWSL";"SUB";76;76;35;650;6500000;;"€"
4900000;"Arsenal";2216;"Women's Super League";"SUB";76;76;32;800;1e+07;;"£"
3900000;"Fleury 91";2218;"Feminine Division 1";"RB";76;76;33;800;8200000;;"€"
7e+06;"Brighton & Hove Albion";2216;"Women's Super League";"SUB";76;76;28;850;14700000;;"£"
6e+06;"Everton";2216;"Women's Super League";"SUB";76;76;31;850;12600000;113394;"£"
6500000;"SGS Essen";2215;"Bundesliga Women";"RCB";76;76;29;850;14300000;;"€"
7500000;"SGS Essen";2215;"Bundesliga Women";"RDM";76;76;29;900;16500000;;"€"
3700000;"Tottenham";2216;"Women's Super League";"GK";76;76;32;650;7800000;;"£"
3200000;"Manchester United";2216;"Women's Super League";"SUB";76;76;35;700;6700000;;"£"
7e+06;"Tottenham";2216;"Women's Super League";"SUB";76;76;30;850;14700000;;"£"
5e+06;"Aston Villa";2216;"Women's Super League";"LCB";76;76;31;800;10500000;;"£"
7500000;"Arsenal";2216;"Women's Super League";"SUB";76;76;29;1000;15400000;113000;"£"
3500000;"Lille";2218;"Feminine Division 1";"RM";76;76;34;850;7700000;;"€"
7500000;"Montpellier";2218;"Feminine Division 1";"RDM";76;76;29;900;15800000;;"€"
6e+06;"Portland Thorns";2221;"NWSL";"LCB";76;76;30;800;12600000;;"€"
825000;"NJ/NY Gotham";2221;"NWSL";"SUB";76;76;35;500;1700000;;"€"
5e+06;"Angel City";2221;"NWSL";"SUB";76;76;32;800;10500000;;"€"
6500000;"Villarreal";2222;"Primera Division Women";"RB";76;76;29;850;14300000;;"€"
2800000;"UDG Tenerife";2222;"Primera Division Women";"LB";76;76;34;800;6200000;;"€"
6500000;"Huelva";2222;"Primera Division Women";"LCM";76;76;29;850;14300000;;"€"
4900000;"Huelva";2222;"Primera Division Women";"LCB";76;76;32;800;10800000;;"€"
2600000;"Zurich";611;"Nationalliga A Women";"ST";76;76;36;700;5700000;;"€"
6e+06;"Slavia Prague";609;"Czech First Division Women";"LCB";76;76;30;800;13200000;;"€"
1,4e+07;"Real Sociedad";2222;"Primera Division Women";"LCM";75;88;21;600;38200000;;"€"
1,4e+07;"Atletico Madrid";2222;"Primera Division Women";"SUB";75;87;22;800;32200000;113012;"€"
1,3e+07;"Levante";2222;"Primera Division Women";"SUB";75;87;18;500;29900000;;"€"
13500000;"Levante";2222;"Primera Division Women";"SUB";75;87;19;500;31100000;;"€"
11500000;"Olympique Lyonnais";2218;"Feminine Division 1";"SUB";75;86;19;500;25900000;;"€"
1,2e+07;"Valencia";2222;"Primera Division Women";"LCM";75;86;18;500;28800000;;"€"
1,2e+07;"Athletic Bilbao";2222;"Primera Division Women";"LDM";75;86;23;650;27600000;;"€"
12500000;"MSV Duisburg";2215;"Bundesliga Women";"SUB";75;85;22;700;3e+07;;"€"
1,2e+07;"Sevilla";2222;"Primera Division Women";"LB";75;85;22;650;28800000;;"€"
1,2e+07;"Athletic Bilbao";2222;"Primera Division Women";"LM";75;85;18;500;27600000;;"€"
12500000;"Real Sociedad";2222;"Primera Division Women";"SUB";75;85;21;700;28800000;;"€"
1,2e+07;"Huelva";2222;"Primera Division Women";"LB";75;85;20;550;28800000;;"€"
1,2e+07;"Paris Saint Germain";2218;"Feminine Division 1";"SUB";75;85;19;500;27600000;;"€"
12500000;"Bayern Munich";2215;"Bundesliga Women";"SUB";75;84;22;700;28800000;113011;"€"
12500000;"Werder Bremen";2215;"Bundesliga Women";"LM";75;84;23;700;3e+07;;"€"
1,2e+07;"Fleury 91";2218;"Feminine Division 1";"LW";75;84;18;500;27600000;;"€"
1,2e+07;"Paris Saint Germain";2218;"Feminine Division 1";"SUB";75;83;21;550;27600000;;"€"
12500000;"OL Reign";2221;"NWSL";"RES";75;83;23;700;28800000;;"€"
1,2e+07;"OL Reign";2221;"NWSL";"SUB";75;83;23;650;27600000;;"€"
1,2e+07;"Paris";2218;"Feminine Division 1";"RDM";75;83;21;550;27600000;;"€"
11500000;"Athletic Bilbao";2222;"Primera Division Women";"LCB";75;83;24;650;26500000;;"€"
1,1e+07;"UDG Tenerife";2222;"Primera Division Women";"GK";75;83;24;500;26400000;;"€"
12500000;"Manchester United";2216;"Women's Super League";"SUB";75;83;23;700;28800000;;"£"
10500000;"Zurich";611;"Nationalliga A Women";"SUB";75;83;20;500;25200000;;"€"
10500000;"Sevilla";2222;"Primera Division Women";"RCB";75;82;24;650;25200000;115682;"€"
11500000;"Le Havre";2218;"Feminine Division 1";"RM";75;82;23;700;27600000;;"€"
10500000;"Sevilla";2222;"Primera Division Women";"SUB";75;82;24;650;25200000;;"€"
10500000;"Wolfsburg";2215;"Bundesliga Women";"SUB";75;82;24;650;23600000;;"€"
9500000;"Slavia Prague";609;"Czech First Division Women";"GK";75;82;22;500;22800000;;"€"
9e+06;"OL Reign";2221;"NWSL";"ST";75;81;22;800;20700000;113000;"€"
8e+06;"Dijon";2218;"Feminine Division 1";"LDM";75;81;24;650;19200000;;"€"
8e+06;"Guingamp";2218;"Feminine Division 1";"LCB";75;81;22;650;19200000;;"€"
7e+06;"Portland Thorns";2221;"NWSL";"SUB";75;81;25;600;16100000;;"€"
7e+06;"Kansas City";2221;"NWSL";"SUB";75;81;25;600;16100000;;"€"
7e+06;"Orlando Pride";2221;"NWSL";"SUB";75;81;25;600;16100000;;"€"
8e+06;"Angel City";2221;"NWSL";"SUB";75;81;23;650;18400000;;"€"
8500000;"Le Havre";2218;"Feminine Division 1";"RB";75;81;23;650;20400000;;"€"
9e+06;"Sevilla";2222;"Primera Division Women";"SUB";75;81;24;800;21600000;;"€"
9e+06;"Zurich";611;"Nationalliga A Women";"CAM";75;81;23;700;21600000;;"€"
9e+06;"Ajax";610;"Eredivisie Women";"RCM";75;81;23;700;21600000;;"€"
8500000;"Everton";2216;"Women's Super League";"SUB";75;80;25;850;18500000;;"£"
8e+06;"Glasgow City";607;"Scottish Premier League Women";"LDM";75;80;25;800;18200000;;"€"
7500000;"Juventus";603;"Serie A Women";"SUB";75;80;26;750;16300000;113003;"€"
6500000;"Levante";2222;"Primera Division Women";"RES";75;80;26;600;14100000;;"€"
7500000;"Werder Bremen";2215;"Bundesliga Women";"LDM";75;80;25;700;17100000;;"€"
8e+06;"Dijon";2218;"Feminine Division 1";"RB";75;80;23;650;18200000;;"€"
8e+06;"Liverpool";2216;"Women's Super League";"RCM";75;80;25;800;18200000;;"£"
7500000;"Portland Thorns";2221;"NWSL";"SUB";75;80;25;700;16300000;;"€"
7500000;"San Diego Wave";2221;"NWSL";"SUB";75;80;25;700;16300000;;"€"
8e+06;"North Carolina Courage";2221;"NWSL";"SUB";75;80;23;650;17400000;;"€"
8e+06;"Kansas City";2221;"NWSL";"RB";75;80;24;650;17400000;;"€"
7500000;"Chicago Red Stars";2221;"NWSL";"SUB";75;80;25;700;16300000;;"€"
7e+06;"Bordeaux";2218;"Feminine Division 1";"GK";75;80;23;500;15900000;;"€"
8e+06;"Bayern Munich";2215;"Bundesliga Women";"SUB";75;80;18;500;17400000;;"€"
8e+06;"Valencia";2222;"Primera Division Women";"RB";75;80;24;650;18200000;;"€"
7500000;"Brighton & Hove Albion";2216;"Women's Super League";"LM";75;78;25;800;16300000;;"£"
6500000;"Chicago Red Stars";2221;"NWSL";"SUB";75;78;26;750;14100000;;"€"
7e+06;"Racing Louisville";2221;"NWSL";"RB";75;78;26;750;15200000;;"€"
6500000;"UDG Tenerife";2222;"Primera Division Women";"RCB";75;78;27;750;14800000;;"€"
7500000;"Granada";2222;"Primera Division Women";"LM";75;78;25;800;17100000;;"€"
7500000;"Rosengard";814;"Damallsvenskan Women";"RM";75;78;24;700;17100000;;"€"
6e+06;"Werder Bremen";2215;"Bundesliga Women";"RCB";75;77;26;750;13700000;;"€"
6500000;"Washington Spirit";2221;"NWSL";"RB";75;77;26;750;14100000;;"€"
5500000;"Le Havre";2218;"Feminine Division 1";"LCB";75;77;28;800;12500000;;"€"
4200000;"Sevilla";2222;"Primera Division Women";"GK";75;76;30;600;9600000;;"€"
6500000;"Chelsea";2216;"Women's Super League";"SUB";75;76;26;900;13800000;113008;"£"
6e+06;"North Carolina Courage";2221;"NWSL";"LDM";75;76;25;700;13100000;;"€"
6500000;"SL Benfica";10003;"1st Division Women";"RCM";75;76;26;850;14800000;115682;"€"
6e+06;"Freiburg";2215;"Bundesliga Women";"SUB";75;76;27;750;13100000;;"€"
5e+06;"Atletico Madrid";2222;"Primera Division Women";"SUB";75;76;29;800;10900000;;"€"
6500000;"Tottenham";2216;"Women's Super League";"RM";75;76;27;900;14100000;;"£"
6500000;"Everton";2216;"Women's Super League";"RW";75;76;25;850;14100000;;"£"
5500000;"Dijon";2218;"Feminine Division 1";"RDM";75;76;28;800;12500000;;"€"
6e+06;"North Carolina Courage";2221;"NWSL";"RB";75;76;27;750;13100000;;"€"
6500000;"Chicago Red Stars";2221;"NWSL";"RM";75;76;25;800;14100000;113000;"€"
6500000;"Racing Louisville";2221;"NWSL";"LW";75;76;26;900;14100000;;"€"
6500000;"Freiburg";2215;"Bundesliga Women";"SUB";75;76;26;900;14100000;;"€"
6500000;"SGS Essen";2215;"Bundesliga Women";"ST";75;76;27;900;14800000;;"€"
4900000;"Villarreal";2222;"Primera Division Women";"SUB";75;75;28;800;10800000;;"€"
5e+06;"Orlando Pride";2221;"NWSL";"SUB";75;75;28;800;10500000;;"€"
4600000;"Freiburg";2215;"Bundesliga Women";"SUB";75;75;30;750;9700000;;"€"
2900000;"Washington Spirit";2221;"NWSL";"SUB";75;75;33;750;6100000;;"€"
950000;"UDG Tenerife";2222;"Primera Division Women";"SUB";75;75;34;600;2100000;;"€"
3900000;"Athletic Bilbao";2222;"Primera Division Women";"SUB";75;75;32;750;8200000;;"€"
6e+06;"Atletico Madrid";2222;"Primera Division Women";"RES";75;75;27;850;12600000;113007;"€"
4700000;"Leicester City";2216;"Women's Super League";"RCB";75;75;29;800;10300000;113984;"£"
4900000;"West Ham United";2216;"Women's Super League";"LB";75;75;29;800;10300000;113984;"£"
2900000;"Glasgow City";607;"Scottish Premier League Women";"LB";75;75;33;750;6400000;;"€"
4600000;"UDG Tenerife";2222;"Primera Division Women";"SUB";75;75;30;750;10100000;113996;"€"
6e+06;"Racing Louisville";2221;"NWSL";"SUB";75;75;27;900;12600000;;"€"
3800000;"Brighton & Hove Albion";2216;"Women's Super League";"LCB";75;75;31;750;8e+06;113008;"£"
2100000;"Leicester City";2216;"Women's Super League";"RB";75;75;34;750;4600000;113394;"£"
4600000;"Eintracht Frankfurt";2215;"Bundesliga Women";"LCB";75;75;30;750;9700000;;"€"
4700000;"Leicester City";2216;"Women's Super League";"CAM";75;75;31;850;10300000;;"£"
4900000;"West Ham United";2216;"Women's Super League";"RCM";75;75;28;800;10300000;;"£"
4800000;"Fleury 91";2218;"Feminine Division 1";"SUB";75;75;30;750;10100000;;"€"
4800000;"North Carolina Courage";2221;"NWSL";"RCB";75;75;28;800;10100000;;"€"
4600000;"Orlando Pride";2221;"NWSL";"RCB";75;75;30;750;9700000;;"€"
4800000;"Kansas City";2221;"NWSL";"ST";75;75;31;900;10100000;;"€"
5500000;"North Carolina Courage";2221;"NWSL";"SUB";75;75;28;850;11600000;;"€"
5500000;"Stade de Reims";2218;"Feminine Division 1";"ST";75;75;29;950;12100000;;"€"
6e+06;"Le Havre";2218;"Feminine Division 1";"ST";75;75;28;950;13200000;;"€"
3900000;"Everton";2216;"Women's Super League";"LB";75;75;32;750;8200000;;"£"
1800000;"UDG Tenerife";2222;"Primera Division Women";"LCB";75;75;34;750;4e+06;;"€"
4800000;"Slavia Prague";609;"Czech First Division Women";"ST";75;75;31;900;10600000;;"€"
10500000;"Glasgow City";607;"Scottish Premier League Women";"ST";74;86;21;650;25200000;;"€"
9500000;"Brighton & Hove Albion";2216;"Women's Super League";"RM";74;85;20;550;21900000;;"£"
9e+06;"Manchester City";2216;"Women's Super League";"SUB";74;85;22;600;20700000;;"£"
9500000;"Chelsea";2216;"Women's Super League";"RES";74;85;22;750;21400000;;"£"
8e+06;"Aston Villa";2216;"Women's Super League";"GK";74;84;23;500;18400000;113011;"£"
8e+06;"Huelva";2222;"Primera Division Women";"GK";74;84;22;500;19200000;;"€"
9e+06;"RB Leipzig";2215;"Bundesliga Women";"LCB";74;84;21;500;21600000;;"€"
8e+06;"SGS Essen";2215;"Bundesliga Women";"GK";74;84;20;500;19200000;;"€"
9e+06;"Freiburg";2215;"Bundesliga Women";"SUB";74;84;22;600;20700000;;"€"
9500000;"Ajax";610;"Eredivisie Women";"LW";74;84;22;750;22800000;113011;"€"
9500000;"Athletic Bilbao";2222;"Primera Division Women";"SUB";74;84;21;550;21900000;;"€"
9e+06;"Everton";2216;"Women's Super League";"CDM";74;83;24;600;20700000;;"£"
9500000;"SGS Essen";2215;"Bundesliga Women";"CAM";74;83;20;550;22800000;;"€"
8e+06;"Leicester City";2216;"Women's Super League";"GK";74;82;24;500;19200000;;"£"
8500000;"Bayer Leverkusen";2215;"Bundesliga Women";"SUB";74;82;19;500;19600000;;"€"
9500000;"Hoffenheim";2215;"Bundesliga Women";"SUB";74;82;22;750;21900000;;"€"
8500000;"Aston Villa";2216;"Women's Super League";"SUB";74;82;24;600;19600000;;"£"
9e+06;"Stade de Reims";2218;"Feminine Division 1";"CM";74;82;21;500;21600000;;"€"
9500000;"Juventus";603;"Serie A Women";"SUB";74;82;23;750;21900000;;"€"
8500000;"Portland Thorns";2221;"NWSL";"SUB";74;82;17;500;19600000;;"€"
8500000;"Kansas City";2221;"NWSL";"SUB";74;82;24;600;19600000;;"€"
9500000;"Dijon";2218;"Feminine Division 1";"ST";74;82;21;650;22800000;;"€"
9500000;"Madrid CFF";2222;"Primera Division Women";"SUB";74;82;23;750;21900000;;"€"
8e+06;"Washington Spirit";2221;"NWSL";"LB";74;81;24;600;18400000;;"€"
8500000;"Rosengard";814;"Damallsvenskan Women";"SUB";74;81;24;750;20400000;;"€"
8e+06;"Bayer Leverkusen";2215;"Bundesliga Women";"LB";74;81;23;600;18400000;;"€"
8e+06;"Olympique Lyonnais";2218;"Feminine Division 1";"RES";74;81;20;500;1,8e+07;;"€"
8e+06;"Guingamp";2218;"Feminine Division 1";"RB";74;81;22;600;19200000;;"€"
8e+06;"Madrid CFF";2222;"Primera Division Women";"SUB";74;81;23;600;18400000;;"€"
5e+06;"Leicester City";2216;"Women's Super League";"SUB";74;80;25;550;1,2e+07;;"£"
5e+06;"Liverpool";2216;"Women's Super League";"SUB";74;80;25;550;1,2e+07;;"£"
6500000;"Saint-Étienne";2218;"Feminine Division 1";"RW";74;80;24;750;15600000;;"€"
6e+06;"Liverpool";2216;"Women's Super League";"LWB";74;80;24;600;14400000;;"£"
6e+06;"Washington Spirit";2221;"NWSL";"RES";74;80;24;600;13800000;;"€"
6500000;"Houston Dash";2221;"NWSL";"SUB";74;80;24;750;1,5e+07;;"€"
6e+06;"Kansas City";2221;"NWSL";"RES";74;80;25;650;13800000;;"€"
6e+06;"Eintracht Frankfurt";2215;"Bundesliga Women";"SUB";74;80;23;600;13800000;;"€"
6500000;"Bayer Leverkusen";2215;"Bundesliga Women";"ST";74;79;23;750;14100000;;"€"
5500000;"Bayer Leverkusen";2215;"Bundesliga Women";"LDM";74;79;26;700;1,2e+07;;"€"
5500000;"Werder Bremen";2215;"Bundesliga Women";"CB";74;79;25;650;12500000;;"€"
6500000;"Chicago Red Stars";2221;"NWSL";"ST";74;79;25;800;14100000;;"€"
5500000;"Orlando Pride";2221;"NWSL";"SUB";74;79;25;650;1,2e+07;;"€"
6e+06;"Houston Dash";2221;"NWSL";"SUB";74;79;25;650;13100000;;"€"
6e+06;"San Diego Wave";2221;"NWSL";"SUB";74;79;25;650;13100000;;"€"
6e+06;"Portland Thorns";2221;"NWSL";"SUB";74;79;25;650;13100000;;"€"
5500000;"Le Havre";2218;"Feminine Division 1";"RCB";74;79;26;700;12500000;;"€"
5500000;"Houston Dash";2221;"NWSL";"RCB";74;79;25;650;1,2e+07;;"€"
6e+06;"Racing Louisville";2221;"NWSL";"LCB";74;79;25;650;13100000;;"€"
6500000;"Liverpool";2216;"Women's Super League";"LCM";74;79;24;650;14800000;;"£"
6e+06;"UDG Tenerife";2222;"Primera Division Women";"SUB";74;79;25;650;13700000;;"€"
6500000;"Brighton & Hove Albion";2216;"Women's Super League";"SUB";74;79;24;750;14100000;;"£"
6e+06;"RB Leipzig";2215;"Bundesliga Women";"RDM";74;78;24;650;13700000;;"€"
5500000;"NJ/NY Gotham";2221;"NWSL";"SUB";74;78;25;650;1,2e+07;;"€"
5e+06;"Zurich";611;"Nationalliga A Women";"RCB";74;78;26;700;11400000;;"€"
5e+06;"Bayern Munich";2215;"Bundesliga Women";"LB";74;77;25;650;10900000;113007;"€"
5500000;"Orlando Pride";2221;"NWSL";"SUB";74;77;26;850;1,2e+07;;"€"
5500000;"Saint-Étienne";2218;"Feminine Division 1";"RCM";74;77;25;750;12500000;;"€"
5500000;"Le Havre";2218;"Feminine Division 1";"LCM";74;77;26;750;12500000;;"€"
4900000;"Athletic Bilbao";2222;"Primera Division Women";"SUB";74;77;27;700;10700000;;"€"
4900000;"UDG Tenerife";2222;"Primera Division Women";"SUB";74;77;26;700;11100000;;"€"
5500000;"Granada";2222;"Primera Division Women";"RM";74;77;25;750;12500000;;"€"
5500000;"Slavia Prague";609;"Czech First Division Women";"SUB";74;77;25;800;12500000;;"€"
3500000;"SL Benfica";10003;"1st Division Women";"GK";74;76;29;600;8e+06;115682;"€"
5500000;"OL Reign";2221;"NWSL";"SUB";74;76;24;650;1,2e+07;;"€"
4200000;"NJ/NY Gotham";2221;"NWSL";"SUB";74;76;28;750;9100000;;"€"
4500000;"Rosengard";814;"Damallsvenskan Women";"RCB";74;76;27;700;10200000;116428;"€"
5500000;"Paris Saint Germain";2218;"Feminine Division 1";"SUB";74;76;26;850;1,2e+07;;"€"
4600000;"Slavia Prague";609;"Czech First Division Women";"RDM";74;76;27;700;10500000;;"€"
5e+06;"Orlando Pride";2221;"NWSL";"ST";74;75;26;850;10900000;;"€"
5e+06;"SGS Essen";2215;"Bundesliga Women";"LM";74;75;26;750;11400000;;"€"
4400000;"NJ/NY Gotham";2221;"NWSL";"SUB";74;75;27;700;9600000;;"€"
4900000;"Houston Dash";2221;"NWSL";"RES";74;75;26;750;10700000;;"€"
1200000;"NJ/NY Gotham";2221;"NWSL";"CDM";74;74;35;500;2500000;;"€"
1400000;"Rosengard";814;"Damallsvenskan Women";"LCB";74;74;34;700;3100000;;"€"
3300000;"Real Betis";2222;"Primera Division Women";"CAM";74;74;32;750;7300000;;"€"
4100000;"Liverpool";2216;"Women's Super League";"LM";74;74;29;800;9e+06;;"£"
3300000;"Valencia";2222;"Primera Division Women";"CDM";74;74;32;750;7300000;;"€"
4100000;"NJ/NY Gotham";2221;"NWSL";"LW";74;74;29;850;8600000;;"€"
4200000;"Rosengard";814;"Damallsvenskan Women";"LB";74;74;28;800;9200000;113984;"€"
1300000;"Glasgow City";607;"Scottish Premier League Women";"RDM";74;74;37;550;2900000;;"€"
4200000;"Chicago Red Stars";2221;"NWSL";"SUB";74;74;29;850;8800000;;"€"
3600000;"Athletic Bilbao";2222;"Primera Division Women";"SUB";74;74;31;850;7600000;;"€"
4e+06;"Tottenham";2216;"Women's Super League";"SUB";74;74;30;750;8400000;;"£"
4600000;"NJ/NY Gotham";2221;"NWSL";"RES";74;74;27;850;9700000;116428;"€"
4100000;"Le Havre";2218;"Feminine Division 1";"SUB";74;74;30;850;9e+06;;"€"
4500000;"OL Reign";2221;"NWSL";"RM";74;74;27;750;9500000;;"€"
2800000;"OL Reign";2221;"NWSL";"SUB";74;74;32;700;5900000;;"€"
4200000;"North Carolina Courage";2221;"NWSL";"SUB";74;74;29;850;8800000;;"€"
4e+06;"North Carolina Courage";2221;"NWSL";"SUB";74;74;30;750;8400000;;"€"
3600000;"Orlando Pride";2221;"NWSL";"LB";74;74;30;700;7600000;;"€"
3100000;"Angel City";2221;"NWSL";"SUB";74;74;31;700;6500000;;"€"
4200000;"Le Havre";2218;"Feminine Division 1";"SUB";74;74;28;800;9200000;;"€"
4100000;"Le Havre";2218;"Feminine Division 1";"CM";74;74;29;800;9e+06;;"€"
3500000;"Le Havre";2218;"Feminine Division 1";"LM";74;74;31;750;7700000;;"€"
1400000;"Athletic Bilbao";2222;"Primera Division Women";"RDM";74;74;34;700;2900000;;"€"
3300000;"UDG Tenerife";2222;"Primera Division Women";"RW";74;74;32;850;7300000;;"€"
3700000;"UDG Tenerife";2222;"Primera Division Women";"RB";74;74;29;750;8100000;;"€"
3500000;"Slavia Prague";609;"Czech First Division Women";"RCB";74;74;29;750;7700000;;"€"
7e+06;"Barcelona";2222;"Primera Division Women";"SUB";73;88;21;500;18700000;;"€"
7e+06;"RB Leipzig";2215;"Bundesliga Women";"LB";73;86;21;500;19800000;;"€"
7e+06;"Tottenham";2216;"Women's Super League";"LB";73;86;21;500;19100000;;"£"
7e+06;"Aston Villa";2216;"Women's Super League";"SUB";73;86;19;500;19100000;;"£"
7500000;"Athletic Bilbao";2222;"Primera Division Women";"SUB";73;86;20;500;20400000;;"€"
7500000;"Chelsea";2216;"Women's Super League";"RES";73;86;19;500;20100000;;"£"
6500000;"Bristol City";2216;"Women's Super League";"GK";73;85;22;500;15600000;;"£"
6e+06;"Aston Villa";2216;"Women's Super League";"SUB";73;84;22;500;13800000;;"£"
6e+06;"Fleury 91";2218;"Feminine Division 1";"SUB";73;83;19;500;13800000;;"€"
6500000;"SGS Essen";2215;"Bundesliga Women";"RB";73;83;20;500;15600000;;"€"
6e+06;"SGS Essen";2215;"Bundesliga Women";"LDM";73;83;19;500;14400000;;"€"
7e+06;"Wolfsburg";2215;"Bundesliga Women";"SUB";73;83;21;600;15800000;;"€"
7e+06;"Leicester City";2216;"Women's Super League";"SUB";73;83;21;600;16800000;;"£"
6500000;"Montpellier";2218;"Feminine Division 1";"SUB";73;83;20;500;1,5e+07;;"€"
7e+06;"Brighton & Hove Albion";2216;"Women's Super League";"SUB";73;83;22;650;16100000;;"£"
6e+06;"Bordeaux";2218;"Feminine Division 1";"RCB";73;83;18;500;14400000;;"€"
6e+06;"Bordeaux";2218;"Feminine Division 1";"LB";73;83;18;500;14400000;;"€"
6500000;"Valencia";2222;"Primera Division Women";"RCB";73;83;23;550;15600000;;"€"
6500000;"Athletic Bilbao";2222;"Primera Division Women";"RB";73;83;22;550;1,5e+07;;"€"
7e+06;"UDG Tenerife";2222;"Primera Division Women";"SUB";73;83;21;600;16800000;;"€"
6e+06;"Nürnberg";2215;"Bundesliga Women";"LCB";73;83;19;500;14400000;;"€"
6500000;"Paris";2218;"Feminine Division 1";"SUB";73;82;21;500;1,5e+07;;"€"
7e+06;"Stade de Reims";2218;"Feminine Division 1";"RW";73;82;21;600;16800000;;"€"
6500000;"Aston Villa";2216;"Women's Super League";"SUB";73;82;24;550;1,5e+07;;"£"
7e+06;"Montpellier";2218;"Feminine Division 1";"SUB";73;82;21;600;16100000;;"€"
7e+06;"Liverpool";2216;"Women's Super League";"SUB";73;82;22;600;16800000;;"£"
